Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested,Rating,Location,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Order Accuracy
ORD000001,CUST2824,JioMart,19:29.5,30,Fruits & Vegetables,382,"Fast delivery, great service!",5,No,No,4.5,Delhi,Neutral,Low,Yes,Out of Stock,Incorrect
ORD000002,CUST1409,Blinkit,54:29.5,16,Dairy,279,Quick and reliable!,5,No,No,2.1,Lucknow,Negative,Low,No,Out of Stock,Correct
ORD000003,CUST5506,JioMart,21:29.5,25,Beverages,599,Items missing from order.,2,No,Yes,4.5,Ahmedabad,Neutral,Medium,No,Out of Stock,Correct
ORD000004,CUST5012,JioMart,19:29.5,42,Beverages,946,Items missing from order.,2,Yes,Yes,2.6,Chennai,Neutral,Medium,Yes,In Stock,Incorrect
ORD000902,CUST1606,Blinkit,26:29.5,15,Personal Care,1983,"Horrible experience, never ordering again.",1,No,Yes,3,Lucknow,Neutral,Low,No,In Stock,Incorrect
ORD003597,CUST3954,Blinkit,02:29.5,32,Fruits & Vegetables,50,Delivery person was rude.,2,No,Yes,2.5,Mumbai,Positive,High,No,In Stock,Incorrect
ORD000007,CUST2679,JioMart,22:29.5,22,Personal Care,1693,"Fast delivery, great service!",5,No,No,3.3,Lucknow,Negative,High,Yes,In Stock,Incorrect
ORD000008,CUST9935,Swiggy Instamart,50:29.5,16,Personal Care,195,"Horrible experience, never ordering again.",1,No,Yes,1.5,Jaipur,Negative,Low,Yes,Out of Stock,Correct
ORD000009,CUST2424,JioMart,51:29.5,39,Fruits & Vegetables,182,Very satisfied with the service.,5,No,No,2.8,Jaipur,Positive,Low,No,In Stock,Incorrect
ORD000010,CUST7912,JioMart,08:29.5,51,Grocery,1279,"Very late delivery, not happy.",2,Yes,Yes,2.5,Delhi,Negative,High,Yes,In Stock,Incorrect
ORD000011,CUST1520,JioMart,32:29.5,25,Fruits & Vegetables,553,"Fast delivery, great service!",5,No,No,2.5,Ahmedabad,Negative,Medium,No,Out of Stock,Incorrect
ORD000012,CUST1488,JioMart,12:29.5,11,Grocery,1062,Excellent experience!,5,No,No,2.9,Jaipur,Positive,High,No,In Stock,Correct
ORD002299,CUST3474,Blinkit,06:29.5,35,Personal Care,1977,Excellent experience!,5,No,No,1.5,Jaipur,Positive,Medium,Yes,In Stock,Incorrect
